id,category,title,mrp,description,photoUrl
1,recommended,Mix veg daliya,160,"A wholesome and nutritious dish made from a mixture of vegetables, daliya, and spices","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/6b538fad36b48103c86de0c4e1b6f07c"
2,recommended,Veg Fried Rice,160,"Our Veg Fried Rice is a vibrant mix of fresh vegetables and fragrant rice, stir-fried to perfection","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/cgjqvbt6sxfl18dbekrx"
3,recommended,Curd,20,Plain curd Swipe right to add item to cart,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/51e1b6199494089bb8be828721ad4807"
4,recommended,Aloo Paratha Meal,150,2 Aloo Parathas + Green Chutney + Pickle + Butter + Curd This item is customizable,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/049e746102c82028494e821e0bce3db8"
5,recommended,1 Paneer Paratha,85,"Flaky, golden-brown flatbread stuffed with creamy, spiced paneer goodness! This item is customizable","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/FOOD_CATALOG/IMAGES/CMS/2024/4/11/3bc27ec2-f452-43b9-880b-e6c5d9b11f91_2d9b1754-8264-4eb8-9351-434d92d74907.jpeg"
6,recommended,1 Aloo Paratha,75,"Crispy on the outside, soft and flavorful on the inside, with a perfect potato filling! This item is customizable",
7,combo,3 Parathas with Matar Paneer,180,"Three soft parathas served with a rich and flavorful paneer curry, complemented by fresh green peas – the perfect dish for a hearty meal","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/5cdec4d2bb143b43d72887bd4897561e"
8,combo,3 Ghee Phulkas with Lauki Kofta,220,"Delight in the flavorful combination of soft lauki kofta served with 3 perfectly cooked ghee phulkas, served alongside fresh onion for the perfect meal","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/FOOD_CATALOG/IMAGES/CMS/2025/3/7/882550e0-2be5-4886-9122-683bdeaf7df4_5b5d0925-41cf-4f66-a41e-bfd0e912e113.jpg"
9,combo,3 Parathas with Dal and Aloo Bhindi (Dry),160,A comforting combination of soft paratha served with flavorful dal and spicy aloo bhindi dry,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/FOOD_CATALOG/IMAGES/CMS/2025/3/16/b7651cf6-bfbb-43b4-8731-c7ad1c74b6db_70d73ca5-bfd2-417b-886a-19bfcfdacd39.jpg"
10,combo,4 Poori With Aloo Sabzi,140,"4 light and airy puris served with flavorful aloo ki sabji, perfectly portioned for one person","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/16d5813eb7138b3ab1deb6ece039f77b"
11,combo,Aloo Paratha Meal,150,2 Aloo Parathas + Green Chutney + Pickle + Butter + Curd This item is customizable,"https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/049e746102c82028494e821e0bce3db8"
12,combo,Paneer Paratha Meal,170,2 Paneer Parathas + Curd + Green Chutney + Pickle + Butter This item is customizable,
13,combo,2 Lachha Parathas with Creamy Paneer Makhni,220,"Two flaky Lachha Parathas paired with creamy Paneer Makhni, served alongside fresh onion for the perfect meal",
14,combo,Veg Fried Rice with Paneer Chilli,220,"A delightful combination of flavorful veg fried rice and succulent paneer, creating a delectable fusion of textures and tastes",
15,combo,2 Ghee Phulka Paneer Bhurji,210,Delicious combination of soft phulkas with flavorful paneer bhurji cooked in rich ghee,
16,combo,Veg Thali Meal,160,2 Chapatis + 1 portion Rice + Dal + Dry Sabzi [Seasonal] This item is customizable,
17,combo,"Rice with Kadhi Pakode, Papad, Salad",160,"A classic combination of steamed rice and pakodi wali kadhi, this dish is perfect for a hearty meal","https://media-assets.swiggy.com/swiggy/image/upload/fl_lossy,f_auto,q_auto,w_300,h_300,c_fit/a450f48ec1103985e303190e93fc194f"
18,combo,Bajra Methi Paratha Meal,140,2 Bajra Methi Parathas + Curd + Rajasthani Lehsuni Chutney + Jaggery This item is customizable,
19,combo,3 Paratha With Dal And Aloo Jeera Dry,160,Delicious combo of flaky parathas served with flavorful dal and aromatic jeera-infused potatoes,
20,combo,3 Paratha With Dal And Aloo Matar Dry,160,Savor the flavorful combination of 3 parathas with creamy dal and hearty aloo matar dry,
21,combo,3 Parathas with Aloo Pyaz Bhaja and Boondi Raita,140,"A delicious pairing of warm paratha wit aloo pyaz bhaja, perfect for a satisfying meal",
22,combo,Ghee Rice with Yello Dal Tadka,150,A delectable combination of aromatic ghee rice and flavorful yellow dal tadka,
23,combo,3 Luchis with Spicy Aloo Dum,150,"Soft luchis served with a spicy and flavorful aloo dum, creating a perfect balance of taste",
